state,county,d_date,total
nevada,unknown,2020-04-28 00:00:00 +0000 UTC,0
utah,unknown,2020-04-28 00:00:00 +0000 UTC,0
arizona,unknown,2020-04-14 00:00:00 +0000 UTC,0
new mexico,unknown,2020-04-28 00:00:00 +0000 UTC,0
new york,unknown,2020-04-18 00:00:00 +0000 UTC,0
pennsylvania,unknown,2020-04-05 00:00:00 +0000 UTC,0
south dakota,unknown,2020-04-08 00:00:00 +0000 UTC,0
kansas,unknown,2020-04-18 00:00:00 +0000 UTC,0
maryland,unknown,2020-04-28 00:00:00 +0000 UTC,0
iowa,carroll,2020-04-28 00:00:00 +0000 UTC,1
washington,columbia,2020-04-28 00:00:00 +0000 UTC,1
maine,unknown,2020-04-28 00:00:00 +0000 UTC,1
iowa,adair,2020-04-28 00:00:00 +0000 UTC,1
wyoming,park,2020-04-28 00:00:00 +0000 UTC,1
nebraska,nemaha,2020-04-28 00:00:00 +0000 UTC,1
oregon,grant,2020-04-28 00:00:00 +0000 UTC,1
iowa,kossuth,2020-04-28 00:00:00 +0000 UTC,1
minnesota,lac qui parle,2020-04-28 00:00:00 +0000 UTC,1
arkansas,woodruff,2020-04-28 00:00:00 +0000 UTC,1
washington,ferry,2020-04-28 00:00:00 +0000 UTC,1
north dakota,foster,2020-04-28 00:00:00 +0000 UTC,1
montana,hill,2020-04-28 00:00:00 +0000 UTC,1
michigan,luce,2020-04-28 00:00:00 +0000 UTC,1
south dakota,meade,2020-04-28 00:00:00 +0000 UTC,1
missouri,ralls,2020-04-28 00:00:00 +0000 UTC,1
missouri,shelby,2020-04-28 00:00:00 +0000 UTC,1
pennsylvania,warren,2020-04-28 00:00:00 +0000 UTC,1
north dakota,mchenry,2020-04-28 00:00:00 +0000 UTC,1
north dakota,mcintosh,2020-04-28 00:00:00 +0000 UTC,1
montana,meagher,2020-04-28 00:00:00 +0000 UTC,1
tennessee,unicoi,2020-04-28 00:00:00 +0000 UTC,1
ohio,unknown,2020-03-26 00:00:00 +0000 UTC,1
south dakota,aurora,2020-04-28 00:00:00 +0000 UTC,1
virginia,bristol city,2020-04-28 00:00:00 +0000 UTC,1
south dakota,faulk,2020-04-28 00:00:00 +0000 UTC,1
kansas,gove,2020-04-28 00:00:00 +0000 UTC,1
minnesota,mahnomen,2020-04-28 00:00:00 +0000 UTC,1
iowa,montgomery,2020-04-28 00:00:00 +0000 UTC,1
missouri,texas,2020-03-30 00:00:00 +0000 UTC,1
south dakota,todd,2020-04-28 00:00:00 +0000 UTC,1
texas,yoakum,2020-04-28 00:00:00 +0000 UTC,1
pennsylvania,cameron,2020-04-28 00:00:00 +0000 UTC,1
south dakota,deuel,2020-04-28 00:00:00 +0000 UTC,1
north dakota,divide,2020-04-28 00:00:00 +0000 UTC,1
virginia,lancaster,2020-04-28 00:00:00 +0000 UTC,1
north dakota,mercer,2020-03-30 00:00:00 +0000 UTC,1
kentucky,nicholas,2020-04-28 00:00:00 +0000 UTC,1
north dakota,sioux,2020-04-28 00:00:00 +0000 UTC,1
wyoming,sublette,2020-04-28 00:00:00 +0000 UTC,1
iowa,taylor,2020-04-28 00:00:00 +0000 UTC,1
south dakota,clark,2020-04-28 00:00:00 +0000 UTC,1
south dakota,fall river,2020-04-28 00:00:00 +0000 UTC,1
texas,franklin,2020-04-28 00:00:00 +0000 UTC,1
arkansas,nevada,2020-04-28 00:00:00 +0000 UTC,1
kansas,stafford,2020-04-28 00:00:00 +0000 UTC,1
california,alpine,2020-04-28 00:00:00 +0000 UTC,1
iowa,audubon,2020-04-28 00:00:00 +0000 UTC,1
south dakota,butte,2020-03-30 00:00:00 +0000 UTC,1
texas,hall,2020-04-01 00:00:00 +0000 UTC,1
south dakota,marshall,2020-04-28 00:00:00 +0000 UTC,1
north dakota,oliver,2020-04-28 00:00:00 +0000 UTC,1
idaho,camas,2020-04-28 00:00:00 +0000 UTC,1
north dakota,grant,2020-04-28 00:00:00 +0000 UTC,1
south dakota,kingsbury,2020-04-01 00:00:00 +0000 UTC,1
kentucky,lawrence,2020-04-28 00:00:00 +0000 UTC,1
montana,liberty,2020-04-28 00:00:00 +0000 UTC,1
montana,musselshell,2020-04-28 00:00:00 +0000 UTC,1
kentucky,powell,2020-04-28 00:00:00 +0000 UTC,1
arkansas,scott,2020-04-28 00:00:00 +0000 UTC,1
oregon,wallowa,2020-04-28 00:00:00 +0000 UTC,1
new mexico,catron,2020-04-28 00:00:00 +0000 UTC,1
virginia,covington city,2020-04-28 00:00:00 +0000 UTC,1
florida,gulf,2020-04-28 00:00:00 +0000 UTC,1
wisconsin,menominee,2020-04-28 00:00:00 +0000 UTC,1
kansas,pratt,2020-04-28 00:00:00 +0000 UTC,1
oklahoma,atoka,2020-04-28 00:00:00 +0000 UTC,1
minnesota,koochiching,2020-04-28 00:00:00 +0000 UTC,1
idaho,lewis,2020-04-05 00:00:00 +0000 UTC,1
nebraska,otoe,2020-04-28 00:00:00 +0000 UTC,1
alaska,unknown,2020-04-08 00:00:00 +0000 UTC,1
idaho,washington,2020-04-28 00:00:00 +0000 UTC,1
oklahoma,woodward,2020-04-28 00:00:00 +0000 UTC,1
alaska,yukon-koyukuk census area,2020-04-28 00:00:00 +0000 UTC,1
missouri,clark,2020-04-28 00:00:00 +0000 UTC,1
oregon,crook,2020-04-28 00:00:00 +0000 UTC,1
north dakota,eddy,2020-04-28 00:00:00 +0000 UTC,1
colorado,rio blanco,2020-04-28 00:00:00 +0000 UTC,1
alaska,southeast fairbanks census area,2020-04-28 00:00:00 +0000 UTC,1
california,tehama,2020-04-28 00:00:00 +0000 UTC,1
oklahoma,washita,2020-04-24 00:00:00 +0000 UTC,1
montana,beaverhead,2020-04-28 00:00:00 +0000 UTC,1
idaho,caribou,2020-04-28 00:00:00 +0000 UTC,1
nebraska,cherry,2020-04-28 00:00:00 +0000 UTC,1
arkansas,dallas,2020-04-28 00:00:00 +0000 UTC,1
texas,hemphill,2020-04-28 00:00:00 +0000 UTC,1
illinois,pike,2020-04-28 00:00:00 +0000 UTC,1
pennsylvania,sullivan,2020-04-28 00:00:00 +0000 UTC,1
oklahoma,tillman,2020-04-28 00:00:00 +0000 UTC,1
